"ContractID","ConractSize","Currency","Expiration","Strike","Last","Chg","ChgPct","Bid","Ask","Vol","OI","LastTradeTime","IV","ITM"
"GOOG230908P00085000","REGULAR","USD",2023-09-08,85,0.01,0,0,0,0,20,0,2023-08-17 12:03:33,0.500005,FALSE
"GOOG230908P00090000","REGULAR","USD",2023-09-08,90,0.01,0,0,0,0,1,0,2023-08-21 14:29:20,0.500005,FALSE
"GOOG230908P00095000","REGULAR","USD",2023-09-08,95,0.01,0,0,0,0,102,0,2023-08-28 10:28:00,0.500005,FALSE
"GOOG230908P00100000","REGULAR","USD",2023-09-08,100,0.01,0,0,0,0,1,0,2023-08-29 10:24:16,0.500005,FALSE
"GOOG230908P00105000","REGULAR","USD",2023-09-08,105,0.01,0,0,0,0,5,0,2023-08-29 13:04:31,0.2500075,FALSE
"GOOG230908P00110000","REGULAR","USD",2023-09-08,110,0.01,0,0,0.01,0,32,0,2023-08-29 13:05:35,0.2500075,FALSE
"GOOG230908P00113000","REGULAR","USD",2023-09-08,113,0.03,0,0,0,0,120,0,2023-08-29 10:32:18,0.2500075,FALSE
"GOOG230908P00114000","REGULAR","USD",2023-09-08,114,0.02,0,0,0,0,15,0,2023-08-29 15:06:27,0.2500075,FALSE
"GOOG230908P00115000","REGULAR","USD",2023-09-08,115,0.02,0,0,0,0,5,0,2023-08-29 13:29:08,0.2500075,FALSE
"GOOG230908P00116000","REGULAR","USD",2023-09-08,116,0.03,0,0,0.02,0,8,0,2023-08-29 11:35:22,0.2500075,FALSE
"GOOG230908P00117000","REGULAR","USD",2023-09-08,117,0.03,0,0,0,0,4,0,2023-08-29 11:05:27,0.2500075,FALSE
"GOOG230908P00118000","REGULAR","USD",2023-09-08,118,0.03,0,0,0.03,0,24,0,2023-08-29 15:44:32,0.2500075,FALSE
"GOOG230908P00119000","REGULAR","USD",2023-09-08,119,0.03,0,0,0,0,69,0,2023-08-29 12:36:24,0.12500875,FALSE
"GOOG230908P00120000","REGULAR","USD",2023-09-08,120,0.04,0,0,0,0,125,0,2023-08-29 15:59:58,0.12500875,FALSE
"GOOG230908P00121000","REGULAR","USD",2023-09-08,121,0.06,0,0,0.05,0,69,0,2023-08-29 15:58:31,0.12500875,FALSE
"GOOG230908P00122000","REGULAR","USD",2023-09-08,122,0.06,0,0,0.06,0,75,0,2023-08-29 15:53:59,0.12500875,FALSE
"GOOG230908P00123000","REGULAR","USD",2023-09-08,123,0.08,0,0,0,0,103,0,2023-08-29 15:02:33,0.12500875,FALSE
"GOOG230908P00124000","REGULAR","USD",2023-09-08,124,0.1,0,0,0,0,118,0,2023-08-29 15:55:37,0.12500875,FALSE
"GOOG230908P00125000","REGULAR","USD",2023-09-08,125,0.12,0,0,0,0,128,0,2023-08-29 15:55:35,0.12500875,FALSE
"GOOG230908P00126000","REGULAR","USD",2023-09-08,126,0.14,0,0,0,0,147,0,2023-08-29 15:34:36,0.12500875,FALSE
"GOOG230908P00127000","REGULAR","USD",2023-09-08,127,0.2,0,0,0,0,144,0,2023-08-29 15:19:58,0.12500875,FALSE
"GOOG230908P00128000","REGULAR","USD",2023-09-08,128,0.25,0,0,0,0,794,0,2023-08-29 15:24:48,0.062509375,FALSE
"GOOG230908P00129000","REGULAR","USD",2023-09-08,129,0.35,0,0,0,0,262,0,2023-08-29 15:59:11,0.062509375,FALSE
"GOOG230908P00130000","REGULAR","USD",2023-09-08,130,0.47,0,0,0,0,1088,0,2023-08-29 15:54:51,0.062509375,FALSE
"GOOG230908P00131000","REGULAR","USD",2023-09-08,131,0.62,0,0,0,0,893,0,2023-08-29 15:59:53,0.062509375,FALSE
"GOOG230908P00132000","REGULAR","USD",2023-09-08,132,0.85,0,0,0,0,831,0,2023-08-29 15:58:50,0.0312596875,FALSE
"GOOG230908P00133000","REGULAR","USD",2023-09-08,133,1.1,0,0,0,0,1418,0,2023-08-29 15:59:33,0.0312596875,FALSE
"GOOG230908P00134000","REGULAR","USD",2023-09-08,134,1.44,0,0,0,0,1839,0,2023-08-29 15:58:59,0.01563484375,FALSE
"GOOG230908P00135000","REGULAR","USD",2023-09-08,135,1.82,0,0,0,0,1545,0,2023-08-29 15:59:24,0.007822421875,FALSE
"GOOG230908P00136000","REGULAR","USD",2023-09-08,136,2.25,0,0,0,0,756,0,2023-08-29 15:54:39,1e-05,TRUE
"GOOG230908P00137000","REGULAR","USD",2023-09-08,137,2.83,0,0,0,0,423,0,2023-08-29 15:54:59,1e-05,TRUE
"GOOG230908P00138000","REGULAR","USD",2023-09-08,138,3.51,0,0,0,0,354,0,2023-08-29 15:59:25,1e-05,TRUE
"GOOG230908P00139000","REGULAR","USD",2023-09-08,139,4,0,0,0,0,39,0,2023-08-29 15:42:26,1e-05,TRUE
"GOOG230908P00140000","REGULAR","USD",2023-09-08,140,5,0,0,0,0,267,0,2023-08-29 15:54:50,1e-05,TRUE
"GOOG230908P00141000","REGULAR","USD",2023-09-08,141,10.05,0,0,0,0,2,0,2023-08-28 13:56:59,1e-05,TRUE
"GOOG230908P00142000","REGULAR","USD",2023-09-08,142,6.05,0,0,0,0,10,0,2023-08-29 11:19:56,1e-05,TRUE
"GOOG230908P00143000","REGULAR","USD",2023-09-08,143,9.9,0,0,0,0,1,0,2023-08-28 09:35:58,1e-05,TRUE
"GOOG230908P00144000","REGULAR","USD",2023-09-08,144,11.4,0,0,0,0,18,0,2023-08-28 09:36:53,1e-05,TRUE
"GOOG230908P00145000","REGULAR","USD",2023-09-08,145,8.85,0,0,0,0,18,0,2023-08-29 12:12:43,1e-05,TRUE
"GOOG230908P00146000","REGULAR","USD",2023-09-08,146,10.55,0,0,0,0,2,0,2023-08-29 10:47:59,1e-05,TRUE
